layer_id	layer_name	comp_time	comm_size
0	attention	2011466	0
0	moe	1403554	953548800
1	attention	2011466	0
1	moe	1403554	953548800
2	attention	2011466	0
2	moe	1403554	953548800
3	attention	989041	0
3	moe	1403554	953548800
4	attention	2011466	0
4	moe	1403554	953548800
5	attention	2011466	0
5	moe	1403554	953548800
6	attention	2011466	0
6	moe	1403554	953548800
7	attention	989041	0
7	moe	1403554	953548800
8	attention	2011466	0
8	moe	1403554	953548800
9	attention	2011466	0
9	moe	1403554	953548800
10	attention	2011466	0
10	moe	1403554	953548800
11	attention	989041	0
11	moe	1403554	953548800
12	attention	2011466	0
12	moe	1403554	953548800
13	attention	2011466	0
13	moe	1403554	953548800
14	attention	2011466	0
14	moe	1403554	953548800
15	attention	989041	0
15	moe	1403554	953548800
16	attention	2011466	0
16	moe	1403554	953548800
17	attention	2011466	0
17	moe	1403554	953548800
18	attention	2011466	0
18	moe	1403554	953548800
19	attention	989041	0
19	moe	1403554	953548800
20	attention	2011466	0
20	moe	1403554	953548800
21	attention	2011466	0
21	moe	1403554	953548800
22	attention	2011466	0
22	moe	1403554	953548800
23	attention	989041	0
23	moe	1403554	953548800
24	attention	2011466	0
24	moe	1403554	953548800
25	attention	2011466	0
25	moe	1403554	953548800
26	attention	2011466	0
26	moe	1403554	953548800
27	attention	989041	0
27	moe	1403554	953548800
28	attention	2011466	0
28	moe	1403554	953548800
29	attention	2011466	0
29	moe	1403554	953548800
30	attention	2011466	0
30	moe	1403554	953548800
31	attention	989041	0
31	moe	1403554	953548800
32	attention	2011466	0
32	moe	1403554	953548800
33	attention	2011466	0
33	moe	1403554	953548800
34	attention	2011466	0
34	moe	1403554	953548800
35	attention	989041	0
35	moe	1403554	953548800
36	attention	2011466	0
36	moe	1403554	953548800
37	attention	2011466	0
37	moe	1403554	953548800
38	attention	2011466	0
38	moe	1403554	953548800
39	attention	989041	0
39	moe	1403554	953548800
40	attention	2011466	0
40	moe	1403554	953548800
41	attention	2011466	0
41	moe	1403554	953548800
42	attention	2011466	0
42	moe	1403554	953548800
43	attention	989041	0
43	moe	1403554	953548800
44	attention	2011466	0
44	moe	1403554	953548800
45	attention	2011466	0
45	moe	1403554	953548800
46	attention	2011466	0
46	moe	1403554	953548800
47	attention	989041	0
47	moe	1403554	953548800
